title,format,year,price,author,rating,publisher,length,city/country,categories,quantity
The Song of Achilles,Paperback,2017,17.88,Madeline Miller,4.41,Bloomsbury Publishing PLC,368.0,"London, United Kingdom",Contemporary Fiction,10
The Thursday Murder Club,Paperback,2021,16.65,Richard Osman,3.97,Penguin Books Ltd,400.0,"London, United Kingdom",Contemporary Fiction,39
MÃ¥ndalen : MÃ¥larbok,Hardback,2021,30.15,Maria Trolle,,Bookmark FÃ¶rlag,,,Activity Books,19
Harry Potter and the Chamber of Secrets: MinaLima Edition,Hardback,2021,54.62,J.K. Rowling,4.43,Bloomsbury Publishing Plc,400.0,"London, United Kingdom",Sci Fi Books for Kids,11
Normal People,Paperback,2019,15.84,Sally Rooney,3.85,Faber & Faber,288.0,"London, United Kingdom","Literary Studies: Classical, Early & Medieval",56
The Storyteller,Hardback,2021,34.01,Dave Grohl,4.62,Simon & Schuster Ltd,384.0,"London, United Kingdom","Individual Composers & Musicians, Specific Bands & Groups",58
The Scum Villain's Self-Saving System,Paperback,2021,23.16,Mo Xiang Tong Xiu,4.85,"Seven Seas Entertainment, LLC",400.0,"West Hollywood, United States",Fantasy,54
The Real Anthony Fauci,Hardback,2021,37.47,Robert F. Kennedy Jr.,5.0,Skyhorse Publishing,216.0,"New York, United States","Biography: Science, Technology & Engineering",24
The Hating Game,Paperback,2017,14.31,Sally Thorne,4.1,"Little, Brown Book Group",384.0,"London, United Kingdom",Contemporary Fiction,58
Man's Search For Meaning,Paperback,2015,11.59,Viktor E Frankl,4.35,Ebury Publishing,160.0,"London, United Kingdom",Holocaust,12
The Beekeeper of Aleppo,Paperback,2020,13.23,Christy Lefteri,4.2,Bonnier Books Ltd,400.0,United Kingdom,Contemporary Fiction,58
Atomic Habits,Paperback,2018,27.47,James Clear,4.36,Cornerstone,320.0,"London, United Kingdom","Literary Studies: Classical, Early & Medieval",10
Diary of a Wimpy Kid: Big Shot (Book 16),Hardback,2021,21.45,Jeff Kinney,4.59,Penguin Random House Children's UK,224.0,"London, United Kingdom",Family,43
Fleabag: The Scriptures,Paperback,2021,27.58,Phoebe Waller-Bridge,5.0,Hodder & Stoughton,416.0,"London, United Kingdom",Film Scripts & Screenplays,15
This Much is True,Hardback,2022,36.09,Miriam Margolyes,4.4,John Murray Press,448.0,"London, United Kingdom",Biography: General,34
Giraffes Can't Dance,Paperback,2014,12.28,Giles Andreae,4.27,Hachette Children's Group,32.0,"London, United Kingdom",Picture Books,56
No Longer Human,Paperback,2020,23.56,Osamu Dazai,4.15,New Directions Publishing Corporation,176.0,"New York, United States",Contemporary Fiction,53
They Both Die at the End,Paperback,2017,17.79,Adam Silvera,4.02,Simon & Schuster Ltd,384.0,"London, United Kingdom",Children's Fiction,10
Clarity & Connection,Paperback,2021,25.68,Yung Pueblo,4.43,Andrews McMeel Publishing,256.0,"Kansas City, United States",Poetry Books,52
1984,Paperback,2008,14.25,George Orwell,4.19,Penguin Books Ltd,336.0,"London, United Kingdom",Contemporary Fiction,28
Before the Coffee Gets Cold,Paperback,2019,13.16,Toshikazu Kawaguchi,3.72,Pan Macmillan,224.0,"London, United Kingdom",Contemporary Fiction,19
Rich Dad Poor Dad,Paperback,2018,13.81,Robert T. Kiyosaki,4.1,Plata Publishing,336.0,"Scottsdale, United States",Management: Leadership & Motivation,42
Piranesi,Paperback,2021,15.89,Susanna Clarke,4.29,Bloomsbury Publishing PLC,272.0,"London, United Kingdom",Contemporary Fiction,43
BerÃ¤ttelser frÃ¥n hÃ¤xans stuga,Hardback,2021,29.01,Hanna Karlzon,,Tukan FÃ¶rlag,,,Home,33
Punk 57,Paperback,2016,24.07,Penelope Douglas,4.05,Createspace Independent Publishing Platform,342.0,,Romance,54
12 Rules for Life,Paperback,2019,19.57,Jordan B. Peterson,3.92,Penguin Books Ltd,448.0,"London, United Kingdom",Social & Political Philosophy,53
The Secret History,Paperback,1995,18.78,Donna Tartt,4.11,Penguin Books Ltd,640.0,"London, United Kingdom",Contemporary Fiction,44
Dear Zoo,Board book,2007,11.48,Rod Campbell,4.28,Simon & Schuster,18.0,"New York, NY, United States",Baby Books,15
"Jujutsu Kaisen, Vol. 10",Paperback,2021,14.58,Gege Akutami,4.57,"Viz Media, Subs. of Shogakukan Inc",192.0,"San Francisco, United States",Graphic Novels: Manga,58
The Silent Patient,Paperback,2020,14.03,Alex Michaelides,4.12,Orion Publishing Co,352.0,"London, United Kingdom",Contemporary Fiction,24
The Untethered Soul,Paperback,2007,19.28,Michael A. Singer,4.17,New Harbinger Publications,200.0,"Oakland, CA, United States","Cognitivism, Cognitive Theory",13
The Very Hungry Caterpillar,Board book,1994,13.1,Eric Carle,4.29,Penguin Random House Children's UK,24.0,"London, United Kingdom",Picture Books,45
The Song of Achilles,Hardback,2021,36.46,Madeline Miller,4.41,Bloomsbury Publishing PLC,384.0,"London, United Kingdom",Contemporary Fiction,10
Afterlives,Paperback,2021,24.7,Abdulrazak Gurnah,4.01,Bloomsbury Publishing Plc,288.0,"London, United Kingdom",Contemporary Fiction,16
"The Boy, the Mole, the Fox and the Horse",Hardback,2020,28.59,Charlie Mackesy,4.59,HarperOne,128.0,,Graphic Novels: Literary & Memoirs,15
9-Nov,Paperback,2015,25.68,Colleen Hoover,4.33,Simon & Schuster,320.0,"New York, United States",Contemporary Fiction,46
Ottolenghi Test Kitchen: Shelf Love,Paperback,2021,41.75,Yotam Ottolenghi,4.0,Ebury Publishing,256.0,"London, United Kingdom",Food & Drink,33
"86 - EIGHTY SIX, Vol. 1 (light novel)",Paperback,2019,21.21,Asato Asato,4.48,"Little, Brown & Company",224.0,"New York, United States",Children's General Story Books,44
If We Were Villains,Paperback,2017,16.8,M. L. Rio,4.16,Titan Books Ltd,400.0,"London, United Kingdom",Crime,30
The Love Hypothesis,Paperback,2021,19.22,Ali Hazelwood,4.47,"Little, Brown Book Group",384.0,"London, United Kingdom",Romance,54
The Song of Achilles,Paperback,2012,24.06,Madeline Miller,4.41,Ecco Press,416.0,,Contemporary Fiction,22
"Solo Leveling, Vol. 1 (manga)",Paperback,2021,28.81,Chugong,4.54,Yen Pr,192.0,"New York, United States",Fantasy,35
The Couple at No 9,Paperback,2021,15.79,Claire Douglas,4.3,Penguin Books Ltd,432.0,"London, United Kingdom",Contemporary Fiction,43
The Psychology of Money,Paperback,2020,22.91,Morgan Housel,4.39,Harriman House Publishing,256.0,"Petersfield, United Kingdom",Investment & Securities,13
Taste,Hardback,2021,32.71,Stanley Tucci,4.42,Penguin Books Ltd,320.0,"London, United Kingdom",Memoirs,46
When the Body Says No,Paperback,2019,18.49,Dr Gabor Mate,4.33,Ebury Publishing,320.0,"London, United Kingdom",Mental Health Services,24
The Power of Now,Paperback,2016,14.98,Eckhart Tolle,4.13,Hodder & Stoughton,224.0,"London, United Kingdom",Coping With Stress,51
One Of Us Is Lying,Paperback,2017,15.4,Karen M. McManus,4.04,Penguin Random House Children's UK,368.0,"London, United Kingdom",Thriller Books for Children,14
Confess,Paperback,2015,16.55,Colleen Hoover,4.21,Simon & Schuster Ltd,320.0,"London, United Kingdom",Romance,28
Have You Filled A Bucket Today?,Paperback,2015,17.32,Carol McCloud,4.4,Bucket Fillosophy,32.0,"MI, United States",Picture Books,23
Sapiens,Paperback,2015,22.16,Yuval Noah Harari,4.39,Vintage Publishing,512.0,"London, United Kingdom",General & World History,37
Love and Other Words,Paperback,2018,24.33,Christina Lauren,4.26,Simon & Schuster,432.0,"New York, United States",Contemporary Fiction,38
Christmas Street,Board book,2021,26.26,Jonathan Emmett,,Nosy Crow Ltd,13.0,"London, United Kingdom",Picture Books,55
God Emperor Of Dune,Paperback,2021,18.75,Frank Herbert,3.87,Orion Publishing Co,432.0,"London, United Kingdom",Science Fiction,41
"Red, White & Royal Blue",Paperback,2019,25.02,Casey McQuiston,4.23,St Martin's Press,432.0,"New York, United States",Adult & Contemporary Romance,10
Red Lines,Paperback,2021,49.55,Cherian George,4.0,MIT Press Ltd,440.0,United States,Art Books,29
Brain Games For Clever Kids (R),Paperback,2014,12.27,Gareth Moore,4.25,Michael O'Mara Books Ltd,192.0,"London, United Kingdom",Handicrafts,51
A Little Life,Paperback,2017,20.17,Hanya Yanagihara,4.3,Pan Macmillan,736.0,"London, United Kingdom",Contemporary Fiction,40
Living the Chateau Dream,Hardback,2021,29.1,Angel Strawbridge,4.67,Orion Publishing Co,336.0,"London, United Kingdom",Autobiography: Arts & Entertainment,57
The Jolly Christmas Postman,Hardback,2014,24.17,Allan Ahlberg,4.49,Penguin Random House Children's UK,52.0,"London, United Kingdom",Contemporary Fiction,13
"Thinking, Fast and Slow",Paperback,2012,22.47,Daniel Kahneman,4.16,Penguin Books Ltd,512.0,"London, United Kingdom",Psychology,29
"The Boy, The Mole, The Fox and The Horse",Hardback,2019,30.15,Charlie Mackesy,4.59,Ebury Publishing,128.0,"London, United Kingdom","Graphic Novels, Anime & Manga",52
The Cruel Prince (The Folk of the Air),Paperback,2018,14.89,Holly Black,4.09,Hot Key Books,400.0,"London, United Kingdom",Children's General Story Books,23
The Lyrics,Hardback,2021,133.82,Paul McCartney,,Penguin Books Ltd,912.0,"London, United Kingdom",Rock & Pop Music,43
Animal Farm,Paperback,2008,14.25,George Orwell,3.97,Penguin Books Ltd,112.0,"London, United Kingdom",Contemporary Fiction,40
"Toilet-bound Hanako-kun, Vol. 2",Paperback,2020,19.46,AidaIro,4.56,"Little, Brown & Company",192.0,"New York, United States",Fantasy,39
Beano Annual 2022,Hardback,2021,20.67,,,D.C.Thomson & Co Ltd,112.0,United Kingdom,Annuals,28
Eating Plant-Based,Paperback,2022,35.87,Shireen Kassam,,Hammersmith Health Books,240.0,"London, United Kingdom",Popular Medicine & Health,22
The Fine Print Special Edition,Paperback,2021,24.94,Lauren Asher,4.11,Lauren Asher,448.0,,Romance,32
Operation Joktan,Paperback,2021,18.05,Amir Tsarfati,5.0,"Harvest House Publishers,U.S.",368.0,"Eugene, OR, United States",Thriller Books,56
Hamnet,Paperback,2021,16.18,Maggie O'Farrell,4.28,Headline Publishing Group,384.0,"London, United Kingdom",Contemporary Fiction,47
"Harry Potter and the Chamber of Secrets (Minalima Edition) (Illustrated Edition), 2",Hardback,2021,54.77,J K Rowling,4.43,SCHOLASTIC INC.,400.0,,Children's Fiction,52
The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 3,Paperback,2022,23.99,Mo Xiang Tong Xiu,4.14,Seven Seas,400.0,United States,Fantasy,50
Conversations with Friends,Paperback,2018,16.29,Sally Rooney,3.83,Faber & Faber,336.0,"London, United Kingdom",Contemporary Fiction,19
Roald Dahl's Marvellous Joke Book,Paperback,2012,22.57,Roald Dahl,3.94,Penguin Random House Children's UK,128.0,"London, United Kingdom",Activity Books,58
The Tiger Who Came to Tea,Paperback,2006,13.21,Judith Kerr,4.25,HarperCollins Publishers,32.0,"London, United Kingdom",Picture Books,54
The Snail and the Whale,Paperback,2006,14.95,Julia Donaldson,4.38,Penguin Putnam Inc,32.0,"New York, NY, United States",Storybooks,26
Where's Spot?,Board book,2011,13.93,Eric Hill,4.11,Penguin Random House Children's UK,22.0,"London, United Kingdom",Characters,26
The Roommate,Paperback,2020,11.58,Rosie Danan,3.72,"Little, Brown Book Group",336.0,"London, United Kingdom",Adult & Contemporary Romance,41
"Beautiful World, Where Are You",Hardback,2021,27.94,Sally Rooney,3.86,FABER & FABER,352.0,"London, United Kingdom",Contemporary Fiction,11
The Invisible String,Paperback,2018,15.73,Patrice Karst,4.47,Hachette Book Group,40.0,"London, United States",Children's Fiction,56
Your One Wild and Precious Life,Paperback,2021,26.8,Maureen Gaffney,3.67,Penguin Books Ltd,416.0,"London, United Kingdom",Sociology: Family & Relationships,58
The Four Agreements,Paperback,1997,20.53,Don Miguel Ruiz,4.16,"Amber-Allen Publishing,U.S.",160.0,"San Rafael, CA, United States",Philosophy Of Mind,20
Unguarded,Hardback,2021,36.36,Scottie Pippen,4.33,Atria Books,320.0,,Biography: Sport,35
Moonology (TM) Manifestation Oracle,Cards,2021,31.88,Yasmin Boland,5.0,Hay House UK Ltd,144.0,"London, United Kingdom","Mind, Body, Spirit: Thought & Practice",25
Look Inside Things That Go,Board book,2013,21.68,Rob Lloyd Jones,4.46,Usborne Publishing Ltd,14.0,"London, United Kingdom",Picture Books,21
Heretics Of Dune,Paperback,2021,17.21,Frank Herbert,3.88,Orion Publishing Co,512.0,"London, United Kingdom",Science Fiction,17
Small Things Like These,Hardback,2021,18.21,Claire Keegan,4.29,Faber & Faber,128.0,"London, United Kingdom",Contemporary Fiction,28
The Concise 48 Laws Of Power,Paperback,2002,13.81,Robert Greene,4.23,Profile Books Ltd,208.0,"London, United Kingdom",Society & Culture: General,55
A Guide to Japanese Role-Playing Games,Hardback,2021,68.76,Bitmap Books,5.0,Bitmap Books,652.0,United Kingdom,Computing: General,46
The Flatshare,Paperback,2020,14.67,Beth O'Leary,4.08,Quercus Publishing,432.0,"London, United Kingdom",Contemporary Fiction,44
The Cat Who Saved Books,Hardback,2021,16.04,Sosuke Natsukawa,3.61,Pan Macmillan,224.0,"London, United Kingdom",Contemporary Fiction,53
Harry Potter and the Philosopher's Stone: MinaLima Edition,Hardback,2021,48.39,J.K. Rowling,4.47,Bloomsbury Publishing PLC,368.0,"London, United Kingdom",Contemporary Fiction,58
Start With Why,Paperback,2011,16.85,Simon Sinek,4.08,Penguin Books Ltd,256.0,"London, United Kingdom",Military History,59
The Alchemist,Paperback,2020,12.55,Paulo Coelho,3.89,Harper,182.0,United States,Contemporary Fiction,43
"Solo Leveling, Vol. 2",Paperback,2021,28.81,Chugong,4.59,Yen Press,192.0,"New York, United States",Fantasy,33
This Is Vegan Propaganda,Hardback,2022,25.78,Ed Winters,5.0,Ebury Publishing,320.0,"London, United Kingdom",Ethics & Moral Philosophy,32
Entangled Life,Paperback,2021,19.99,Merlin Sheldrake,4.39,Vintage Publishing,368.0,"London, United Kingdom","Mycology, Fungi (non-medical)",42
Windswept & Interesting,Hardback,2022,35.12,Billy Connolly,4.59,Hodder & Stoughton,400.0,"London, United Kingdom",Individual Actors & Performers,51
The Seven Husbands of Evelyn Hugo,Paperback,2018,21.59,Taylor Jenkins Reid,4.45,SIMON & SCHUSTER,400.0,"New York, United States",Contemporary Fiction,58
The Koala Who Could,Paperback,2017,13.55,Rachel Bright,4.27,Hachette Children's Group,32.0,"London, United Kingdom",Storybooks,58
The Koala Who Could,Paperback,2017,13.55,Rachel Bright,4.27,Hachette Children's Group,32.0,"London, United Kingdom",Storybooks,49
Aristotle and Dante Dive Into the Waters of the World,Paperback,2021,19.11,Benjamin Alire SÃ¡enz,4.29,Simon & Schuster Ltd,528.0,"London, United Kingdom",Children's Fiction,36
Window Shopping,Paperback,2021,19.89,Tessa Bailey,4.07,Tessa Bailey,258.0,,Adult & Contemporary Romance,17
The Bell Jar,Paperback,2011,22.26,Sylvia Plath,4.02,Faber & Faber,240.0,"London, United Kingdom",Autobiography: Literary,15
The Dinosaur's Diary,Paperback,2002,11.22,Julia Donaldson,3.99,Penguin Random House Children's UK,112.0,"London, United Kingdom",Children's General Story Books,20
It Happened One Summer,Paperback,2021,22.77,Tessa Bailey,4.15,HarperCollins Publishers Inc,416.0,"New York, United States",Contemporary Fiction,16
Inward,Paperback,2020,25.68,YUNG PUEBLO,4.4,Andrews McMeel Publishing,240.0,"Kansas City, United States",Poetry Books,42
Atomic Habits,Hardback,2018,28.13,James Clear,4.36,Avery Publishing Group,320.0,United States,"Social, Group Or Collective Psychology",34
The Dessert Game,Paperback,2021,33.27,Reynold Poernomo,5.0,Murdoch Books,208.0,"London, United Kingdom",General Cookery,48
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,Paperback,2022,23.99,Mo Xiang Tong Xiu,4.35,"Seven Seas Entertainment, LLC",544.0,"West Hollywood, United States",Fantasy,45
The Vanishing Half,Paperback,2021,14.69,Brit Bennett,4.21,"Little, Brown Book Group",384.0,"London, United Kingdom",Contemporary Fiction,34
Foundation,Paperback,2016,10.82,Isaac Asimov,4.17,HarperCollins Publishers,240.0,"London, United Kingdom",Classic Books & Novels,24
Come as You Are: Revised and Updated,Paperback,2021,27.77,Emily Nagoski,4.26,Simon & Schuster,400.0,,Gender Studies: Women,57
Mindset - Updated Edition,Paperback,2017,15.91,Dr Carol Dweck,4.05,"Little, Brown Book Group",320.0,"London, United Kingdom",Psychology,24
Oh William!,Hardback,2021,24.14,Elizabeth Strout,4.14,Penguin Books Ltd,256.0,"London, United Kingdom",Contemporary Fiction,56
The Very Hungry Caterpillar: Little Learning Library,Board book,2011,13.92,Eric Carle,4.12,Penguin Random House Children's UK,48.0,"London, United Kingdom",Baby Books,36
The Day the Crayons Quit,Paperback,2014,17.11,Drew Daywalt,4.37,HarperCollins Publishers,40.0,"London, United Kingdom",Characters,24
"Jujutsu Kaisen, Vol. 6",Paperback,2020,14.89,Gege Akutami,4.55,"Viz Media, Subs. of Shogakukan Inc",192.0,"San Francisco, United States",Graphic Novels: Manga,26
The Power of Geography,Paperback,2021,19.62,Tim Marshall,4.19,Elliott & Thompson Limited,432.0,"London, United Kingdom",Politics & Government,27
This is Going to Hurt,Paperback,2018,13.71,Adam Kay,4.39,Pan Macmillan,256.0,"London, United Kingdom","Biography: Science, Technology & Engineering",12
We Were Liars,Paperback,2014,20.77,E. Lockhart,3.8,Hot Key Books,240.0,"London, United Kingdom",Romance Books for Teenagers,30
Stick Man,Paperback,2016,12.42,Julia Donaldson,4.27,Scholastic,32.0,"London, United Kingdom",Characters,32
Treacle Walker,Hardback,2021,24.53,Alan Garner,4.38,HarperCollins Publishers,160.0,"London, United Kingdom",Contemporary Fiction,13
Crime and Punishment,Paperback,2000,9.4,Fyodor Dostoevsky,4.23,Wordsworth Editions Ltd,528.0,"Herts, United Kingdom",Classic Books & Novels,56
The Great Dune Trilogy,Hardback,2019,63.24,Frank Herbert,4.37,Orion Publishing Co,912.0,"London, United Kingdom",Classic Books & Novels,47
The Queen of Nothing (The Folk of the Air #3),Paperback,2020,14.1,Holly Black,4.35,Hot Key Books,320.0,"London, United Kingdom",Fantasy,57
The Unhoneymooners,Paperback,2020,15.0,Christina Lauren,4.02,"Little, Brown Book Group",432.0,"London, United Kingdom",Romance,50
The Intelligent Investor,Paperback,2003,31.12,Benjamin Graham,4.22,HarperCollins Publishers Inc,640.0,"New York, United States","Business, Finance & Law",22
"Spy x Family, Vol. 4",Paperback,2021,14.53,Tatsuya Endo,4.54,"Viz Media, Subs. of Shogakukan Inc",192.0,"San Francisco, United States",Graphic Novels: Manga,34
Gateway of Light Activation Oracle,Cards,2021,22.01,Kyle Gray,,Hay House UK Ltd,176.0,"London, United Kingdom","Mind, Body, Spirit: Thought & Practice",13
"Best Wishes, Warmest Regards",Hardback,2021,62.5,Daniel Levy,,Orion Publishing Co,368.0,"London, United Kingdom",Television,56
Maid,Paperback,2020,25.16,Stephanie Land,3.75,Legacy Lit,288.0,United States,Biography: General,35
"86 - EIGHTY SIX, Vol. 2 (light novel)",Paperback,2019,21.02,Asato Asato,4.02,"Little, Brown & Company",224.0,"New York, United States",Science Fiction,57
The Mountain Is You,Paperback,2020,36.21,Brianna Wiest,4.41,Thought Catalog Books,248.0,,"Assertiveness, Motivation & Self-esteem",28
Six of Crows,Paperback,2016,16.91,Leigh Bardugo,4.47,Hachette Children's Group,512.0,"London, United Kingdom",Romance,41
Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 3,Paperback,2022,23.99,Mo Xiang Tong Xiu,4.88,Seven Seas,504.0,United States,Fantasy,29
Verity,Paperback,2021,25.92,Colleen Hoover,,Grand Central Publishing,336.0,,Crime,22
Dune,Paperback,2021,20.99,Frank Herbert,4.24,Hodder & Stoughton,592.0,"London, United Kingdom",Contemporary Fiction,43
Attached,Paperback,2019,15.52,Amir Levine,4.13,Pan Macmillan,304.0,"London, United Kingdom",Psychotherapy,19
The Wicked King (The Folk of the Air #2),Paperback,2019,23.71,Holly Black,4.33,Hot Key Books,368.0,"London, United Kingdom",Fantasy,59
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Paperback,2021,24.58,Philippa Perry,4.1,Penguin Books Ltd,272.0,"London, United Kingdom",Psychotherapy,54
Moleskine Ltd. Ed. Peanuts 2022 12-Month Daily Pocket Hardcover Notebook: Yellow,Hardback,2021,22.37,Moleskine,,Moleskine,400.0,Italy,Miscellaneous Items,43
"Given, Vol. 6",Paperback,2021,19.02,Natsuki Kizu,4.46,"Viz Media, Subs. of Shogakukan Inc",162.0,United States,Graphic Novels: Manga,28
Scattered Minds,Paperback,2019,18.87,Dr Gabor Mate,4.39,Ebury Publishing,368.0,"London, United Kingdom",Health Books,15
The Daily Stoic,Paperback,2017,17.75,Ryan Holiday,4.2,Profile Books Ltd,416.0,"London, United Kingdom",Personal Development,53
Six Crimson Cranes,Hardback,2021,31.25,Elizabeth Lim,4.32,HODDER & STOUGHTON,464.0,"London, United Kingdom",Fantasy,49
Chapter House Dune,Paperback,2021,16.07,Frank Herbert,3.92,Orion Publishing Co,480.0,"London, United Kingdom",Science Fiction,26
Cytonic,Hardback,2021,30.35,Brandon Sanderson,4.38,Orion Publishing Co,432.0,"London, United Kingdom",Adventure Books,45
9-Nov,Paperback,2015,14.87,Colleen Hoover,4.33,Simon & Schuster Ltd,320.0,"London, United Kingdom",Romance,17
American Psycho,Paperback,2015,17.63,Bret Easton Ellis,3.82,Pan Macmillan,416.0,"London, United Kingdom",Contemporary Fiction,58
Harry Potter Box Set: The Complete Collection (Children's Paperback),Paperback,2020,107.82,J.K. Rowling,4.72,Bloomsbury Publishing PLC,3872.0,"London, United Kingdom",Fantasy,36
Circe,Paperback,2019,17.68,Madeline Miller,4.26,Bloomsbury Publishing PLC,352.0,"London, United Kingdom",Contemporary Fiction,44
Wonder,Paperback,2013,15.03,R. J. Palacio,4.4,Penguin Random House Children's UK,320.0,"London, United Kingdom",Children's Fiction,36
Freedom,Paperback,2021,21.12,Nathan Law,4.0,Transworld Publishers Ltd,240.0,"London, United Kingdom",Politics & Government,12
My Year of Rest and Relaxation,Paperback,2019,23.49,Ottessa Moshfegh,3.7,Vintage Publishing,304.0,"London, United Kingdom",Prose: Non-fiction,32
Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 2,Paperback,2022,23.99,Mo Xiang Tong Xiu,4.83,"Seven Seas Entertainment, LLC",504.0,"West Hollywood, United States",Fantasy,12
Joshua Weissman: An Unapologetic Cookbook. #1 NEW YORK TIMES BESTSELLER,Hardback,2021,38.95,Joshua Weissman,4.4,DK,264.0,"London, United States",Reference Works,54
Think and Grow Rich,Paperback,2005,14.87,Napoleon Hill,4.17,Penguin Putnam Inc,320.0,"Los Angeles, United States",Management Accounting & Bookkeeping,39
The Almanack of Naval Ravikant,Paperback,2020,24.24,Eric Jorgenson,4.59,Magrathea Publishing,242.0,,Advice On Careers & Achieving Success,25
Kingdom of the Wicked,Paperback,2021,18.23,Kerri Maniscalco,4.02,Hodder & Stoughton,400.0,"London, United Kingdom",Fantasy,31
"Good Girl, Bad Blood",Paperback,2020,17.22,Holly Jackson,4.4,HarperCollins Publishers,432.0,United Kingdom,Vintage Crime,37
Code Name Verity,Paperback,2015,15.0,Elizabeth Wein,4.0,HarperCollins Publishers,464.0,United Kingdom,Children's Fiction,17
The Wonderful Things You Will Be,Hardback,2015,26.02,Emily Winfield Martin,4.4,Random House USA Inc,36.0,"New York, United States",Storybooks,27
Breath,Paperback,2021,17.24,James Nestor,4.15,Penguin Books Ltd,304.0,"London, United Kingdom",Science: General Issues,34
Gangsta Granny,Paperback,2013,15.29,David Walliams,4.28,HarperCollins Publishers,306.0,"London, United Kingdom",Funny Books for Kids,24
How the Grinch Stole Christmas!,Paperback,2010,13.86,Dr. Seuss,4.34,HarperCollins Publishers,64.0,"London, United Kingdom",Characters,17
"Jujutsu Kaisen, Vol. 5",Paperback,2020,15.29,Gege Akutami,4.5,"Viz Media, Subs. of Shogakukan Inc",192.0,"San Francisco, United States",Graphic Novels: Manga,29
Call Me By Your Name,Paperback,2017,12.78,Andre Aciman,4.16,Atlantic Books,256.0,"London, United Kingdom",Contemporary Fiction,25
Invisible Women,Paperback,2020,18.27,Caroline Criado Perez,4.39,Vintage Publishing,432.0,"London, United Kingdom",Journalistic Style Guides,21
Twittering Birds Never Fly Volume 2 (Yaoi Manga),Paperback,2021,21.19,Kou Yoneda,4.38,DIGITAL MANGA,200.0,United States,Graphic Novels: Manga,40
Six of Crows: Collector's Edition,Hardback,2018,28.55,Leigh Bardugo,4.47,Hachette Children's Group,512.0,"London, United Kingdom",Children's Fiction,53
The Lion Inside,Paperback,2016,20.21,Rachel Bright,4.36,Hachette Children's Group,32.0,"London, United Kingdom",Storybooks,30
